moneyness,T,sigma,price,vega,delta,gamma,recovered_iv,price_finite,price_nonneg,iv_ill_posed,iv_roundtrip_ok,all_pass
1.0,0.019178082191780823,0.05,2.377993845618903,42.48695496555769,0.536553936210087,0.0742497003337353,0.04999999999999981,True,True,False,True,True
1.0,0.019178082191780823,0.2,8.769610542269902,42.639855087784916,0.5142330255905246,0.01862922669504359,0.2,True,True,False,True,True
1.0,0.019178082191780823,1.0,42.85767952282583,42.55186444310314,0.5292331419781006,0.0037181567684756098,1.000000000000001,True,True,False,True,True
1.0,0.019178082191780823,3.0,127.28593202568766,41.743941113066825,0.5827104434720003,0.0012158536351165173,2.999999999999935,True,True,False,True,True
1.0,0.0821917808219178,0.01,2.241817282633747,57.86565467375158,0.8200349891588522,0.1179795565422029,0.01000000000000013,True,True,False,True,True
1.0,0.0821917808219178,0.05,5.49449018503384,86.66831909184606,0.5749852300763523,0.035340790354359664,0.05000000000000157,True,True,False,True,True
1.0,0.0821917808219178,0.2,18.657956415656543,88.01294945546036,0.5291438281382671,0.00897227276289392,0.2,True,True,False,True,True
1.0,0.0821917808219178,1.0,88.85808667824591,87.23720610748393,0.5600127675604233,0.0017786382870062566,0.9999999999999993,True,True,False,True,True
1.0,0.0821917808219178,3.0,257.51132519758096,80.35678575134496,0.6668141364320985,0.0005461188795294672,2.9999999999999996,True,True,False,True,True
1.0,1.0,0.01,24.0155185113357,1.7890200607621518,0.9864175448611678,0.0002997985231938289,0.010000001377576367,True,True,False,True,True
1.0,1.0,0.05,29.940108987753433,243.8535933273617,0.737326928403487,0.008172848226632721,0.05000000000000366,True,True,False,True,True
1.0,1.0,0.2,72.55004864314611,294.08843395025383,0.5947854248105665,0.0024641221225074274,0.2,True,True,False,True,True
1.0,1.0,1.0,299.52960191029024,264.05793183916734,0.6935618375971743,0.0004425002253427717,1.0,True,True,False,True,True
1.0,1.0,3.0,662.2508507098934,97.18570463257674,0.9224926070052945,5.428694617690257e-05,3.0000000000000004,True,True,False,True,True
1.0,5.0,0.01,107.02944960194054,4.543069164267293e-09,0.9370674633770432,1.5226273378226073e-13,0.012039802442763703,True,True,True,True,True
1.0,5.0,0.05,109.583848602623,213.7563840079917,0.8728695718680887,0.0014328257050745007,0.05000000004543266,True,True,False,True,True
1.0,5.0,0.2,179.4933250178019,545.3345579245205,0.6742266270225828,0.0009138550131331742,0.2,True,True,False,True,True
1.0,5.0,1.0,548.0169598362477,318.2507118106507,0.8273329745234629,0.00010666296650197569,1.0,True,True,False,True,True
1.0,5.0,3.0,723.3433098110628,2.1492415869021326,0.9367253050655872,2.4010889830026897e-07,2.999999999972404,True,True,False,True,True
1.25,0.0027397260273972603,0.01,0.0,0.0,0.0,0.0,,True,True,True,True,True
1.25,0.0027397260273972603,0.05,0.0,0.0,0.0,0.0,,True,True,True,True,True
1.25,0.0027397260273972603,0.2,2.0481078487616018e-101,4.679839676411225e-98,5.4213730545518917e-101,1.4312256886001816e-100,0.2,True,True,True,True,True
1.25,0.0027397260273972603,1.0,9.818730310519677e-05,0.002053499783133137,1.1411657590798888e-05,1.2560351825594422e-06,0.9999979856491088,True,True,False,True,True
1.25,0.0027397260273972603,3.0,4.7419300732208,6.5550970671299,0.08979826671510295,0.0013364878517859186,2.999999998632819,True,True,False,True,True
1.25,0.019178082191780823,0.01,0.0,0.0,0.0,0.0,,True,True,True,True,True
1.25,0.019178082191780823,0.05,1.2150806635489457e-227,2.517234591092744e-223,7.315428632491987e-227,4.399089419560987e-226,0.2,True,True,True,True,True
